,Year,Week,Destination,Visitors,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Date_x,SnowDepth(cm)
664,2020,5,Mt. Baw Baw,4055,85291,2.0,-2.1545074897866545,66.8,2020-07-13,17.0
665,2020,6,Mt. Baw Baw,2945,85291,1.9,-0.5,21.6,2020-07-14,6.0
666,2020,6,Mt. Baw Baw,2945,85291,1.3,-1.6,0.2,2020-07-15,6.0
667,2020,6,Mt. Baw Baw,2945,85291,3.5,-2.5,0.0,2020-07-16,6.0
668,2020,6,Mt. Baw Baw,2945,85291,9.8,-2.2,4.99750022808138,2020-07-17,6.0
669,2020,6,Mt. Baw Baw,2945,85291,5.5,2.1,0.0,2020-07-18,6.0
670,2020,6,Mt. Baw Baw,2945,85291,3.9,-0.4,0.0,2020-07-19,6.0
671,2020,6,Mt. Baw Baw,2945,85291,-0.1,-2.1545074897866545,4.8,2020-07-20,6.0
672,2020,7,Mt. Baw Baw,1149,85291,1.4,-1.7,12.4,2020-07-21,7.0
673,2020,7,Mt. Baw Baw,1149,85291,0.0,-1.9,0.2,2020-07-22,7.0
674,2020,7,Mt. Baw Baw,1149,85291,5.2,-3.4,1.0,2020-07-23,7.0
675,2020,7,Mt. Baw Baw,1149,85291,5.3,-2.6,0.0,2020-07-24,7.0
676,2020,7,Mt. Baw Baw,1149,85291,5.2,1.3,0.0,2020-07-25,7.0
677,2020,7,Mt. Baw Baw,1149,85291,4.4,0.3,0.0,2020-07-26,7.0
678,2020,7,Mt. Baw Baw,1149,85291,3.1,-2.1545074897866545,10.2,2020-07-27,7.0
679,2020,8,Mt. Baw Baw,941,85291,3.4,1.3,59.0,2020-07-28,5.0
680,2020,8,Mt. Baw Baw,941,85291,6.3,-0.4,5.0,2020-07-29,5.0
681,2020,8,Mt. Baw Baw,941,85291,2.9090958655156745,-1.2,3.8,2020-07-30,5.0
682,2020,8,Mt. Baw Baw,941,85291,7.6,-2.9,0.0,2020-07-31,5.0
683,2020,8,Mt. Baw Baw,941,85291,6.2,-2.1545074897866545,4.99750022808138,2020-08-01,5.0
684,2020,8,Mt. Baw Baw,941,85291,7.0,1.2,4.99750022808138,2020-08-02,5.0
685,2020,8,Mt. Baw Baw,941,85291,5.1,0.8,0.0,2020-08-03,5.0
686,2020,9,Mt. Baw Baw,834,85291,-2.0,-6.5,3.6,2020-08-04,12.0
687,2020,9,Mt. Baw Baw,834,85291,-1.9,-6.8,15.4,2020-08-05,12.0
688,2020,9,Mt. Baw Baw,834,85291,0.0,-4.1,13.4,2020-08-06,12.0
689,2020,9,Mt. Baw Baw,834,85291,0.0,-4.9,1.0,2020-08-07,12.0
690,2020,9,Mt. Baw Baw,834,85291,2.3,-1.8,4.0,2020-08-08,12.0
691,2020,9,Mt. Baw Baw,834,85291,2.9090958655156745,-0.4,4.6,2020-08-09,12.0
692,2020,9,Mt. Baw Baw,834,85291,2.9090958655156745,-2.1,4.99750022808138,2020-08-10,12.0
693,2020,10,Mt. Baw Baw,0,85291,8.9,-2.0,4.99750022808138,2020-08-11,38.0
694,2020,10,Mt. Baw Baw,0,85291,3.1,-2.1545074897866545,1.0,2020-08-12,38.0
695,2020,10,Mt. Baw Baw,0,85291,5.2,1.2,0.0,2020-08-13,38.0
696,2020,10,Mt. Baw Baw,0,85291,7.0,2.3,2.4,2020-08-14,38.0
697,2020,10,Mt. Baw Baw,0,85291,3.3,1.3,3.4,2020-08-15,38.0
698,2020,10,Mt. Baw Baw,0,85291,2.3,1.0,31.2,2020-08-16,38.0
699,2020,10,Mt. Baw Baw,0,85291,3.2,0.3,50.8,2020-08-17,38.0
700,2020,11,Mt. Baw Baw,0,85291,3.0,-0.8,1.8,2020-08-18,42.0
701,2020,11,Mt. Baw Baw,0,85291,0.1,-0.9,9.6,2020-08-19,42.0
702,2020,11,Mt. Baw Baw,0,85291,-0.4,-2.1,21.2,2020-08-20,42.0
703,2020,11,Mt. Baw Baw,0,85291,-1.4,-3.7,13.2,2020-08-21,42.0
704,2020,11,Mt. Baw Baw,0,85291,-1.9,-5.0,11.4,2020-08-22,42.0
705,2020,11,Mt. Baw Baw,0,85291,2.9090958655156745,-4.5,44.2,2020-08-23,42.0
706,2020,11,Mt. Baw Baw,0,85291,-0.7,-2.9,11.8,2020-08-24,42.0
707,2020,12,Mt. Baw Baw,0,85291,-0.1,-3.3,2.8,2020-08-25,35.0
708,2020,12,Mt. Baw Baw,0,85291,1.0,-2.8,2.0,2020-08-26,35.0
709,2020,12,Mt. Baw Baw,0,85291,3.8,-2.1,1.0,2020-08-27,35.0
710,2020,12,Mt. Baw Baw,0,85291,5.6,-2.7,5.2,2020-08-28,35.0
711,2020,12,Mt. Baw Baw,0,85291,9.3,-1.0,3.6,2020-08-29,35.0
712,2020,12,Mt. Baw Baw,0,85291,2.9090958655156745,4.4,0.0,2020-08-30,35.0
713,2020,12,Mt. Baw Baw,0,85291,0.1,-3.5,14.2,2020-08-31,35.0
714,2020,13,Mt. Baw Baw,0,85291,5.0,-4.5,6.0,2020-09-01,58.0
715,2020,13,Mt. Baw Baw,0,85291,9.7,-0.2,0.0,2020-09-02,58.0
716,2020,13,Mt. Baw Baw,0,85291,2.9090958655156745,2.9,0.0,2020-09-03,58.0
717,2020,13,Mt. Baw Baw,0,85291,2.9090958655156745,-2.1545074897866545,4.99750022808138,2020-09-04,58.0
718,2020,13,Mt. Baw Baw,0,85291,2.9090958655156745,-1.1,4.99750022808138,2020-09-05,58.0
719,2020,13,Mt. Baw Baw,0,85291,2.9090958655156745,-0.6,4.99750022808138,2020-09-06,58.0
720,2020,13,Mt. Baw Baw,0,85291,10.2,2.8,0.0,2020-09-07,58.0
721,2020,14,Mt. Baw Baw,0,85291,11.4,6.5,0.0,2020-09-08,50.0
722,2020,14,Mt. Baw Baw,0,85291,2.9090958655156745,-1.7,3.0,2020-09-09,50.0
723,2020,14,Mt. Baw Baw,0,85291,2.9090958655156745,-0.1,0.2,2020-09-10,50.0
724,2020,14,Mt. Baw Baw,0,85291,14.2,3.7,4.99750022808138,2020-09-11,50.0
725,2020,14,Mt. Baw Baw,0,85291,6.1,3.6,0.8,2020-09-12,50.0
726,2020,14,Mt. Baw Baw,0,85291,2.9090958655156745,3.5,4.99750022808138,2020-09-13,50.0
727,2020,14,Mt. Baw Baw,0,85291,5.0,-0.3,4.99750022808138,2020-09-14,50.0
728,2020,15,Mt. Baw Baw,0,85291,9.7,-0.6,0.0,2020-09-15,27.0
729,2020,15,Mt. Baw Baw,0,85291,10.2,3.9,0.0,2020-09-16,27.0
730,2020,15,Mt. Baw Baw,0,85291,10.1,2.2,0.0,2020-09-17,27.0
731,2020,15,Mt. Baw Baw,0,85291,12.4,1.6,0.0,2020-09-18,27.0
732,2020,15,Mt. Baw Baw,0,85291,14.7,-2.1545074897866545,0.0,2020-09-19,27.0
733,2020,15,Mt. Baw Baw,0,85291,8.2,6.8,0.2,2020-09-20,27.0
734,2020,15,Mt. Baw Baw,0,85291,8.6,-2.1545074897866545,4.99750022808138,2020-09-21,27.0
735,2021,1,Mt. Baw Baw,334,85291,5.1,-2.5,1.6,2021-06-09,0.0
736,2021,1,Mt. Baw Baw,334,85291,4.6,-2.1545074897866545,280.6,2021-06-10,0.0
737,2021,1,Mt. Baw Baw,334,85291,4.8,-0.9,16.6,2021-06-11,0.0
738,2021,1,Mt. Baw Baw,334,85291,2.9090958655156745,-2.1545074897866545,41.2,2021-06-12,0.0
739,2021,1,Mt. Baw Baw,334,85291,2.9090958655156745,-2.1545074897866545,7.2,2021-06-13,0.0
740,2021,1,Mt. Baw Baw,334,85291,3.9,0.7,0.2,2021-06-14,0.0
741,2021,1,Mt. Baw Baw,334,85291,4.8,0.4,2.2,2021-06-15,0.0
742,2021,2,Mt. Baw Baw,941,85291,2.5,0.8,0.0,2021-06-16,0.0
743,2021,2,Mt. Baw Baw,941,85291,1.6,-1.3,1.8,2021-06-17,0.0
744,2021,2,Mt. Baw Baw,941,85291,2.6,-1.1,3.8,2021-06-18,0.0
745,2021,2,Mt. Baw Baw,941,85291,1.9,-0.4,21.2,2021-06-19,0.0
746,2021,2,Mt. Baw Baw,941,85291,2.3,-0.9,0.2,2021-06-20,0.0
747,2021,2,Mt. Baw Baw,941,85291,2.9090958655156745,-0.7,0.0,2021-06-21,0.0
748,2021,2,Mt. Baw Baw,941,85291,5.3,0.3,0.0,2021-06-22,0.0
749,2021,3,Mt. Baw Baw,2614,85291,3.4,1.2,0.2,2021-06-23,0.0
750,2021,3,Mt. Baw Baw,2614,85291,4.1,2.0,8.6,2021-06-24,0.0
751,2021,3,Mt. Baw Baw,2614,85291,1.7,-0.1,2.2,2021-06-25,0.0
752,2021,3,Mt. Baw Baw,2614,85291,1.4,-0.4,12.6,2021-06-26,0.0
753,2021,3,Mt. Baw Baw,2614,85291,4.1,-2.2,5.0,2021-06-27,0.0
754,2021,3,Mt. Baw Baw,2614,85291,7.9,-1.9,0.2,2021-06-28,0.0
755,2021,3,Mt. Baw Baw,2614,85291,7.2,1.1,0.0,2021-06-29,0.0
756,2021,4,Mt. Baw Baw,8833,85291,3.7,0.7,0.0,2021-06-30,1.0
757,2021,4,Mt. Baw Baw,8833,85291,6.1,1.5,0.2,2021-07-01,1.0
758,2021,4,Mt. Baw Baw,8833,85291,3.6,1.0,0.0,2021-07-02,1.0
759,2021,4,Mt. Baw Baw,8833,85291,-1.3,-3.9,3.8,2021-07-03,1.0
760,2021,4,Mt. Baw Baw,8833,85291,-0.6,-3.9,1.4,2021-07-04,1.0
761,2021,4,Mt. Baw Baw,8833,85291,0.2,-2.4,13.4,2021-07-05,1.0
762,2021,4,Mt. Baw Baw,8833,85291,-0.1,-3.0,2.8,2021-07-06,1.0
763,2021,5,Mt. Baw Baw,11910,85291,0.0,-2.9,0.0,2021-07-07,2.0
764,2021,5,Mt. Baw Baw,11910,85291,2.9090958655156745,-3.5,0.0,2021-07-08,2.0
765,2021,5,Mt. Baw Baw,11910,85291,6.1,-1.1,4.99750022808138,2021-07-09,2.0
766,2021,5,Mt. Baw Baw,11910,85291,3.6,-1.2,0.0,2021-07-10,2.0
767,2021,5,Mt. Baw Baw,11910,85291,5.9,-0.6,0.0,2021-07-11,2.0
768,2021,5,Mt. Baw Baw,11910,85291,2.8,-0.1,0.0,2021-07-12,2.0
769,2021,5,Mt. Baw Baw,11910,85291,2.4,0.3,1.4,2021-07-13,2.0
770,2021,6,Mt. Baw Baw,2430,85291,3.0,-0.7,0.4,2021-07-14,4.0
771,2021,6,Mt. Baw Baw,2430,85291,3.0,-0.4,3.8,2021-07-15,4.0
772,2021,6,Mt. Baw Baw,2430,85291,0.6,-0.4,5.2,2021-07-16,4.0
773,2021,6,Mt. Baw Baw,2430,85291,0.8,-3.5,9.6,2021-07-17,4.0
774,2021,6,Mt. Baw Baw,2430,85291,-0.1,-3.1,32.4,2021-07-18,4.0
775,2021,6,Mt. Baw Baw,2430,85291,-0.1,-2.1,2.2,2021-07-19,4.0
776,2021,6,Mt. Baw Baw,2430,85291,-0.1,-1.3,4.0,2021-07-20,4.0
777,2021,7,Mt. Baw Baw,3,85291,-0.4,-3.5,22.0,2021-07-21,9.0
778,2021,7,Mt. Baw Baw,3,85291,0.0,-3.1,7.6,2021-07-22,9.0
779,2021,7,Mt. Baw Baw,3,85291,-0.7,-3.3,0.2,2021-07-23,9.0
780,2021,7,Mt. Baw Baw,3,85291,-0.4,-2.6,0.8,2021-07-24,9.0
781,2021,7,Mt. Baw Baw,3,85291,2.9090958655156745,-5.0,13.6,2021-07-25,9.0
782,2021,7,Mt. Baw Baw,3,85291,2.3,-5.1,4.99750022808138,2021-07-26,9.0
783,2021,7,Mt. Baw Baw,3,85291,4.3,0.3,1.2,2021-07-27,9.0
784,2021,8,Mt. Baw Baw,3274,85291,2.0,1.3,2.0,2021-07-28,4.0
785,2021,8,Mt. Baw Baw,3274,85291,-0.1,-3.1,9.2,2021-07-29,4.0
786,2021,8,Mt. Baw Baw,3274,85291,2.7,-3.0,0.2,2021-07-30,4.0
787,2021,8,Mt. Baw Baw,3274,85291,7.4,-2.0,0.8,2021-07-31,4.0
788,2021,8,Mt. Baw Baw,3274,85291,-0.3,-2.4,19.8,2021-08-01,4.0
789,2021,8,Mt. Baw Baw,3274,85291,2.5,-2.0,0.4,2021-08-02,4.0
790,2021,8,Mt. Baw Baw,3274,85291,-0.5,-1.3,0.8,2021-08-03,4.0
791,2021,9,Mt. Baw Baw,1757,85291,1.6,-2.9,11.8,2021-08-04,13.0
792,2021,9,Mt. Baw Baw,1757,85291,1.5,-1.4,21.2,2021-08-05,13.0
793,2021,9,Mt. Baw Baw,1757,85291,1.2,-0.4,0.4,2021-08-06,13.0
794,2021,9,Mt. Baw Baw,1757,85291,0.9,-0.9,0.0,2021-08-07,13.0
795,2021,9,Mt. Baw Baw,1757,85291,4.3,-2.0,5.4,2021-08-08,13.0
796,2021,9,Mt. Baw Baw,1757,85291,3.5,-0.5,0.0,2021-08-09,13.0
797,2021,9,Mt. Baw Baw,1757,85291,5.4,0.6,0.0,2021-08-10,13.0
798,2021,10,Mt. Baw Baw,2392,85291,8.2,0.7,0.0,2021-08-11,5.0
799,2021,10,Mt. Baw Baw,2392,85291,1.0,-1.9,12.6,2021-08-12,5.0
800,2021,10,Mt. Baw Baw,2392,85291,2.3,-0.8,0.0,2021-08-13,5.0
801,2021,10,Mt. Baw Baw,2392,85291,3.9,-0.6,0.0,2021-08-14,5.0
802,2021,10,Mt. Baw Baw,2392,85291,3.3,0.0,0.2,2021-08-15,5.0
803,2021,10,Mt. Baw Baw,2392,85291,0.3,-1.2,1.0,2021-08-16,5.0
804,2021,10,Mt. Baw Baw,2392,85291,4.6,-1.3,19.2,2021-08-17,5.0
805,2021,11,Mt. Baw Baw,1948,85291,7.7,-0.7,5.2,2021-08-18,10.0
806,2021,11,Mt. Baw Baw,1948,85291,8.1,-0.4,0.0,2021-08-19,10.0
807,2021,11,Mt. Baw Baw,1948,85291,4.2,1.3,0.0,2021-08-20,10.0
808,2021,11,Mt. Baw Baw,1948,85291,5.6,1.3,0.4,2021-08-21,10.0
809,2021,11,Mt. Baw Baw,1948,85291,7.6,2.2,0.0,2021-08-22,10.0
810,2021,11,Mt. Baw Baw,1948,85291,0.4,0.3,17.0,2021-08-23,10.0
811,2021,11,Mt. Baw Baw,1948,85291,-1.2,-3.5,36.6,2021-08-24,10.0
812,2021,12,Mt. Baw Baw,0,85291,-0.2,-3.3,20.8,2021-08-25,11.0
813,2021,12,Mt. Baw Baw,0,85291,0.0,-3.4,13.8,2021-08-26,11.0
814,2021,12,Mt. Baw Baw,0,85291,1.3,-1.9,3.8,2021-08-27,11.0
815,2021,12,Mt. Baw Baw,0,85291,5.8,-1.0,2.6,2021-08-28,11.0
816,2021,12,Mt. Baw Baw,0,85291,1.4,-0.5,1.4,2021-08-29,11.0
817,2021,12,Mt. Baw Baw,0,85291,3.2,-1.3,2.8,2021-08-30,11.0
818,2021,12,Mt. Baw Baw,0,85291,7.3,0.0,0.0,2021-08-31,11.0
819,2021,13,Mt. Baw Baw,0,85291,12.2,3.2,0.0,2021-09-01,0.0
820,2021,13,Mt. Baw Baw,0,85291,12.8,7.2,0.0,2021-09-02,0.0
821,2021,13,Mt. Baw Baw,0,85291,11.7,8.7,0.0,2021-09-03,0.0
822,2021,13,Mt. Baw Baw,0,85291,4.3,1.6,46.8,2021-09-04,0.0
823,2021,13,Mt. Baw Baw,0,85291,0.1,-1.5,49.4,2021-09-05,0.0
824,2021,13,Mt. Baw Baw,0,85291,2.0,-1.8,19.2,2021-09-06,0.0
825,2021,13,Mt. Baw Baw,0,85291,6.1,-1.1,0.6,2021-09-07,0.0
826,2021,14,Mt. Baw Baw,176,85291,8.3,-1.8,1.8,2021-09-08,0.0
827,2021,14,Mt. Baw Baw,176,85291,8.9,2.5,0.0,2021-09-09,0.0
828,2021,14,Mt. Baw Baw,176,85291,9.2,-0.7,0.0,2021-09-10,0.0
829,2021,14,Mt. Baw Baw,176,85291,11.7,0.3,0.0,2021-09-11,0.0
830,2021,14,Mt. Baw Baw,176,85291,2.2,-2.4,2.0,2021-09-12,0.0
831,2021,14,Mt. Baw Baw,176,85291,0.2,-3.3,9.4,2021-09-13,0.0
832,2021,14,Mt. Baw Baw,176,85291,4.5,-3.9,0.0,2021-09-14,0.0
833,2021,15,Mt. Baw Baw,475,85291,4.1,-2.8,0.0,2021-09-15,0.0
834,2021,15,Mt. Baw Baw,475,85291,7.0,-1.5,0.0,2021-09-16,0.0
835,2021,15,Mt. Baw Baw,475,85291,9.9,0.5,0.0,2021-09-17,0.0
836,2021,15,Mt. Baw Baw,475,85291,3.3,0.9,14.2,2021-09-18,0.0
837,2021,15,Mt. Baw Baw,475,85291,3.0,-2.4,5.6,2021-09-19,0.0
838,2021,15,Mt. Baw Baw,475,85291,-1.3,-1.9,26.6,2021-09-20,0.0
839,2021,15,Mt. Baw Baw,475,85291,2.8,-4.6,37.4,2021-09-21,0.0
840,2022,1,Mt. Baw Baw,8513,85291,0.0,-1.8,20.0,2022-06-09,0.0
841,2022,1,Mt. Baw Baw,8513,85291,0.9,-0.3,4.99750022808138,2022-06-10,0.0
842,2022,1,Mt. Baw Baw,8513,85291,0.1,-2.4,4.99750022808138,2022-06-11,0.0
843,2022,1,Mt. Baw Baw,8513,85291,0.4,-1.4,4.99750022808138,2022-06-12,0.0
844,2022,1,Mt. Baw Baw,8513,85291,1.7,-1.9,21.6,2022-06-13,0.0
845,2022,1,Mt. Baw Baw,8513,85291,2.2,-2.4,0.0,2022-06-14,0.0
846,2022,1,Mt. Baw Baw,8513,85291,2.7,-1.8,0.0,2022-06-15,0.0
847,2022,2,Mt. Baw Baw,6516,85291,3.3,0.2,2.6,2022-06-16,0.0
848,2022,2,Mt. Baw Baw,6516,85291,1.7,0.8,27.2,2022-06-17,0.0
849,2022,2,Mt. Baw Baw,6516,85291,3.4,0.2,1.2,2022-06-18,0.0
850,2022,2,Mt. Baw Baw,6516,85291,6.2,-0.5,0.0,2022-06-19,0.0
851,2022,2,Mt. Baw Baw,6516,85291,3.6,1.5,0.0,2022-06-20,0.0
852,2022,2,Mt. Baw Baw,6516,85291,2.2,0.9,4.0,2022-06-21,0.0
853,2022,2,Mt. Baw Baw,6516,85291,3.2,-1.0,5.2,2022-06-22,0.0
854,2022,3,Mt. Baw Baw,5609,85291,3.3,0.4,0.4,2022-06-23,0.0
855,2022,3,Mt. Baw Baw,5609,85291,2.5,1.8,8.4,2022-06-24,0.0
856,2022,3,Mt. Baw Baw,5609,85291,1.4,-0.9,1.0,2022-06-25,0.0
857,2022,3,Mt. Baw Baw,5609,85291,1.3,-0.4,0.0,2022-06-26,0.0
858,2022,3,Mt. Baw Baw,5609,85291,0.2,-2.7,25.6,2022-06-27,0.0
859,2022,3,Mt. Baw Baw,5609,85291,4.3,-4.6,2.2,2022-06-28,0.0
860,2022,3,Mt. Baw Baw,5609,85291,5.9,-1.0,0.0,2022-06-29,0.0
861,2022,4,Mt. Baw Baw,10614,85291,4.5,-0.7,0.0,2022-06-30,42.0
862,2022,4,Mt. Baw Baw,10614,85291,1.8,-1.3,0.0,2022-07-01,42.0
863,2022,4,Mt. Baw Baw,10614,85291,5.1,-2.3,0.0,2022-07-02,42.0
864,2022,4,Mt. Baw Baw,10614,85291,4.5,-2.2,0.0,2022-07-03,42.0
865,2022,4,Mt. Baw Baw,10614,85291,3.0,-2.3,0.0,2022-07-04,42.0
866,2022,4,Mt. Baw Baw,10614,85291,6.9,-2.0,0.0,2022-07-05,42.0
867,2022,4,Mt. Baw Baw,10614,85291,6.8,-0.6,0.0,2022-07-06,42.0
868,2022,5,Mt. Baw Baw,11092,85291,-0.1,-1.2,0.8,2022-07-07,22.0
869,2022,5,Mt. Baw Baw,11092,85291,-0.1,-1.3,4.99750022808138,2022-07-08,22.0
870,2022,5,Mt. Baw Baw,11092,85291,0.0,-1.5,4.99750022808138,2022-07-09,22.0
871,2022,5,Mt. Baw Baw,11092,85291,2.2,-1.0,8.2,2022-07-10,22.0
872,2022,5,Mt. Baw Baw,11092,85291,2.5,-0.8,0.0,2022-07-11,22.0
873,2022,5,Mt. Baw Baw,11092,85291,-0.1,-1.1,0.0,2022-07-12,22.0
874,2022,5,Mt. Baw Baw,11092,85291,-0.4,-2.5,38.8,2022-07-13,22.0
875,2022,6,Mt. Baw Baw,9082,85291,0.0,-3.5,23.6,2022-07-14,37.0
876,2022,6,Mt. Baw Baw,9082,85291,3.3,-2.9,9.2,2022-07-15,37.0
877,2022,6,Mt. Baw Baw,9082,85291,1.6,-2.3,8.8,2022-07-16,37.0
878,2022,6,Mt. Baw Baw,9082,85291,1.3,-2.0,3.6,2022-07-17,37.0
879,2022,6,Mt. Baw Baw,9082,85291,-2.0,-4.0,8.0,2022-07-18,37.0
880,2022,6,Mt. Baw Baw,9082,85291,-1.1,-5.3,12.0,2022-07-19,37.0
881,2022,6,Mt. Baw Baw,9082,85291,2.2,-5.0,1.0,2022-07-20,37.0
882,2022,7,Mt. Baw Baw,8570,85291,4.2,-4.5,0.0,2022-07-21,58.0
883,2022,7,Mt. Baw Baw,8570,85291,8.8,0.0,0.0,2022-07-22,58.0
884,2022,7,Mt. Baw Baw,8570,85291,5.3,2.2,0.0,2022-07-23,58.0
885,2022,7,Mt. Baw Baw,8570,85291,6.7,2.0,0.0,2022-07-24,58.0
886,2022,7,Mt. Baw Baw,8570,85291,6.8,1.9,0.6,2022-07-25,58.0
887,2022,7,Mt. Baw Baw,8570,85291,0.7,-1.0,11.4,2022-07-26,58.0
888,2022,7,Mt. Baw Baw,8570,85291,2.2,-2.0,15.6,2022-07-27,58.0
889,2022,8,Mt. Baw Baw,7825,85291,-0.7,-2.1,19.0,2022-07-28,34.0
890,2022,8,Mt. Baw Baw,7825,85291,-0.7,-2.7,17.0,2022-07-29,34.0
891,2022,8,Mt. Baw Baw,7825,85291,3.2,-6.3,4.2,2022-07-30,34.0
892,2022,8,Mt. Baw Baw,7825,85291,2.7,-2.2,0.0,2022-07-31,34.0
893,2022,8,Mt. Baw Baw,7825,85291,0.7,-2.4,3.8,2022-08-01,34.0
894,2022,8,Mt. Baw Baw,7825,85291,2.8,-2.4,1.8,2022-08-02,34.0
895,2022,8,Mt. Baw Baw,7825,85291,7.0,0.2,7.0,2022-08-03,34.0
896,2022,9,Mt. Baw Baw,7810,85291,4.4,2.3,7.6,2022-08-04,50.0
897,2022,9,Mt. Baw Baw,7810,85291,1.1,0.5,6.2,2022-08-05,50.0
898,2022,9,Mt. Baw Baw,7810,85291,1.1,-1.4,9.0,2022-08-06,50.0
899,2022,9,Mt. Baw Baw,7810,85291,1.8,-1.2,6.6,2022-08-07,50.0
900,2022,9,Mt. Baw Baw,7810,85291,2.6,-2.3,0.0,2022-08-08,50.0
901,2022,9,Mt. Baw Baw,7810,85291,4.4,-2.9,0.0,2022-08-09,50.0
902,2022,9,Mt. Baw Baw,7810,85291,1.5,-2.5,0.2,2022-08-10,50.0
903,2022,10,Mt. Baw Baw,6587,85291,1.8,-0.4,0.0,2022-08-11,27.0
904,2022,10,Mt. Baw Baw,6587,85291,3.3,-0.7,1.4,2022-08-12,27.0
905,2022,10,Mt. Baw Baw,6587,85291,4.2,0.3,0.0,2022-08-13,27.0
906,2022,10,Mt. Baw Baw,6587,85291,1.3,-1.6,3.8,2022-08-14,27.0
907,2022,10,Mt. Baw Baw,6587,85291,0.7,-1.5,24.4,2022-08-15,27.0
908,2022,10,Mt. Baw Baw,6587,85291,3.7,-0.8,17.4,2022-08-16,27.0
909,2022,10,Mt. Baw Baw,6587,85291,8.8,-0.5,26.6,2022-08-17,27.0
910,2022,11,Mt. Baw Baw,7939,85291,4.3,1.7,0.2,2022-08-18,15.0
911,2022,11,Mt. Baw Baw,7939,85291,1.4,-2.0,14.4,2022-08-19,15.0
912,2022,11,Mt. Baw Baw,7939,85291,1.0,-2.2,7.4,2022-08-20,15.0
913,2022,11,Mt. Baw Baw,7939,85291,2.8,-5.9,17.8,2022-08-21,15.0
914,2022,11,Mt. Baw Baw,7939,85291,2.0,-1.8,0.0,2022-08-22,15.0
915,2022,11,Mt. Baw Baw,7939,85291,-1.4,-4.2,37.2,2022-08-23,15.0
